year,state_territory,age_group,n_studying,population,prop_studying
2018,ACT,15_19,22.3,24,0.9291666666666667
2018,ACT,20_24,21.6,33.7,0.6409495548961425
2018,ACT,25_29,10.5,34.7,0.3025936599423631
2018,ACT,30_34,5,34.7,0.1440922190201729
2018,ACT,35_39,2.7,32.4,0.08333333333333334
2018,ACT,40_44,2.3,28,0.08214285714285714
2018,ACT,45_49,1.8,27.4,0.06569343065693431
2018,ACT,50_54,1.3,24.1,0.05394190871369294
2018,ACT,55_74,3.1,73.2,0.04234972677595628
2018,NSW,15_19,394.6,471.1,0.8376140946720442
2018,NSW,20_24,248.3,548.3,0.452854276855736
2018,NSW,25_29,103.3,601.4,0.17176587961423345
2018,NSW,30_34,75.9,591.7,0.12827446341051207
2018,NSW,35_39,42.3,549.6,0.07696506550218339
2018,NSW,40_44,35.6,507.5,0.07014778325123153
2018,NSW,45_49,31.8,521.8,0.06094288999616712
2018,NSW,50_54,19.3,480.6,0.04015813566375364
2018,NSW,55_74,33.3,1639.5,0.02031107044830741
2018,NT,15_19,9.9,13.5,0.7333333333333334
2018,NT,20_24,4.1,13.9,0.29496402877697836
2018,NT,25_29,3.4,21.6,0.15740740740740738
2018,NT,30_34,3.2,22.4,0.14285714285714288
2018,NT,35_39,2.4,17.9,0.1340782122905028
2018,NT,40_44,1.3,15.5,0.08387096774193549
2018,NT,45_49,1.1,15.9,0.06918238993710692
2018,NT,50_54,1.1,14.6,0.07534246575342467
2018,NT,55_74,0.4,37,0.010810810810810811
2018,Qld,15_19,235.1,308,0.7633116883116883
2018,Qld,20_24,136.6,334.7,0.408126680609501
2018,Qld,25_29,70.2,355.5,0.19746835443037974
2018,Qld,30_34,39.6,347.4,0.1139896373056995
2018,Qld,35_39,28,328.5,0.0852359208523592
2018,Qld,40_44,28.6,320.8,0.08915211970074813
2018,Qld,45_49,19.5,340,0.057352941176470586
2018,Qld,50_54,13.9,309.8,0.04486765655261459
2018,Qld,55_74,13.5,1016.9,0.013275641656013375
2018,SA,15_19,86.8,103.1,0.8419010669253153
2018,SA,20_24,57.4,113.3,0.5066195939982348
2018,SA,25_29,22.2,114,0.19473684210526315
2018,SA,30_34,12.5,115.6,0.10813148788927336
2018,SA,35_39,15.7,109.5,0.14337899543378996
2018,SA,40_44,8,104.2,0.07677543186180422
2018,SA,45_49,6.2,115.4,0.053726169844020795
2018,SA,50_54,3.4,110.5,0.030769230769230767
2018,SA,55_74,5.4,391.7,0.013786060760786317
2018,Tas.,15_19,26.9,31.3,0.8594249201277955
2018,Tas.,20_24,11.4,32.3,0.35294117647058826
2018,Tas.,25_29,4.5,32.3,0.1393188854489164
2018,Tas.,30_34,3.4,31.5,0.10793650793650793
2018,Tas.,35_39,4.8,29.7,0.1616161616161616
2018,Tas.,40_44,2.2,30.1,0.07308970099667775
2018,Tas.,45_49,2.8,35.3,0.07932011331444759
2018,Tas.,50_54,2.3,33.7,0.06824925816023737
2018,Tas.,55_74,1.9,133.2,0.014264264264264265
2018,Vic.,15_19,331,372.6,0.8883521202361782
2018,Vic.,20_24,241.8,471.4,0.5129401781926178
2018,Vic.,25_29,100.6,511.3,0.19675337375317817
2018,Vic.,30_34,54.5,503.9,0.10815638023417345
2018,Vic.,35_39,33.8,455,0.07428571428571427
2018,Vic.,40_44,29.5,412.5,0.07151515151515152
2018,Vic.,45_49,25.4,426.2,0.059596433599249175
2018,Vic.,50_54,15.6,384.2,0.04060385216033316
2018,Vic.,55_74,17.1,1258.4,0.013588684043229498
2018,WA,15_19,128,155.2,0.8247422680412372
2018,WA,20_24,67.8,168.2,0.40309155766944116
2018,WA,25_29,30,190.9,0.1571503404924044
2018,WA,30_34,25.2,203.6,0.1237721021611002
2018,WA,35_39,14.8,185.2,0.0799136069114471
2018,WA,40_44,14,170.3,0.08220786846741045
2018,WA,45_49,15,178.2,0.08417508417508418
2018,WA,50_54,5.3,163.2,0.032475490196078434
2018,WA,55_74,6.2,510.5,0.012144955925563174
